[1, 'm', 10500, 1, 4]
[0, '3', 10900, 1, 4]
[0, 'd', 10900, 1, 4]
[0, 'm', 10900, 1, 4]
[1, 'd', 10900, 1, 4]
[1, 'm', 10900, 1, 4]
[1, '5', 10900, 1, 4]
[0, '5', 11300, 1, 4]
[0, 'd', 11300, 1, 4]
[0, 'm', 11300, 1, 4]
[1, 'c', 11300, 1, 4]
[1, 'm', 11300, 1, 4]
[1, 'e', 11300, 1, 4]
[0, 'e', 11500, 1, 4]
[1, 'e', 11500, 1, 3]
[0, 'e', 11600, 1, 3]
[1, 'e', 11600, 1, 3]
[0, 'e', 11700, 1, 3]
[0, 'c', 11700, 1, 4]
[0, 'm', 11700, 1, 4]
[1, 'c', 11700, 1, 4]
[1, 'm', 11700, 1, 4]
[1, 'e', 11700, 1, 4]
[0, 'e', 11900, 1, 4]
[1, 'e', 11900, 1, 3]
[0, 'e', 12000, 1, 3]
[1, 'e', 12000, 1, 3]
[0, 'e', 12100, 1, 3]
[0, 'c', 12100, 1, 4]
[0, 'm', 12100, 1, 4]
[1, 'c', 12100, 1, 4]
[1, 'm', 12100, 1, 4]
[1, 'e', 12100, 1, 4]
[0, 'e', 12300, 1, 4]
[1, 'e', 12300, 1, 3]
[0, 'e', 12400, 1, 3]
[1, 'e', 12400, 1, 3]
[0, 'e', 12500, 1, 3]
[0, 'c', 12500, 1, 4]
[0, 'm', 12500, 1, 4]
[1, 'c', 12500, 1, 4]
[1, 'm', 12500, 1, 4]
[1, 'e', 12500, 1, 4]
[0, 'e', 12700, 1, 4]
[1, 'e', 12700, 1, 3]
[0, 'e', 12900, 1, 3]
[0, 'c', 12900, 1, 4]
[0, 'm', 12900, 1, 4]
[0, '0', 0, 0, 0]
